city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,5
sj,2008,20,4
sj,2008,21,7
sj,2008,22,10
sj,2008,23,11
sj,2008,24,14
sj,2008,25,18
sj,2008,26,20
sj,2008,27,23
sj,2008,28,24
sj,2008,29,20
sj,2008,30,26
sj,2008,31,33
sj,2008,32,46
sj,2008,33,48
sj,2008,34,32
sj,2008,35,42
sj,2008,36,64
sj,2008,37,73
sj,2008,38,48
sj,2008,39,29
sj,2008,40,28
sj,2008,41,33
sj,2008,42,32
sj,2008,43,25
sj,2008,44,22
sj,2008,45,33
sj,2008,46,33
sj,2008,47,28
sj,2008,48,20
sj,2008,49,19
sj,2008,50,15
sj,2008,51,16
sj,2008,52,18
sj,2009,1,13
sj,2009,2,14
sj,2009,3,15
sj,2009,4,13
sj,2009,5,13
sj,2009,6,10
sj,2009,7,11
sj,2009,8,7
sj,2009,9,11
sj,2009,10,6
sj,2009,11,5
sj,2009,12,3
sj,2009,13,4
sj,2009,14,3
sj,2009,15,4
sj,2009,16,4
sj,2009,17,5
sj,2009,18,5
sj,2009,19,5
sj,2009,20,5
sj,2009,21,4
sj,2009,22,10
sj,2009,23,8
sj,2009,24,11
sj,2009,25,17
sj,2009,26,12
sj,2009,27,30
sj,2009,28,31
sj,2009,29,45
sj,2009,30,43
sj,2009,31,48
sj,2009,32,50
sj,2009,33,38
sj,2009,34,63
sj,2009,35,46
sj,2009,36,49
sj,2009,37,37
sj,2009,38,55
sj,2009,39,45
sj,2009,40,68
sj,2009,41,69
sj,2009,42,61
sj,2009,43,45
sj,2009,44,30
sj,2009,45,25
sj,2009,46,33
sj,2009,47,32
sj,2009,48,27
sj,2009,49,19
sj,2009,50,19
sj,2009,51,18
sj,2009,52,20
sj,2010,53,7
sj,2010,1,14
sj,2010,2,14
sj,2010,3,14
sj,2010,4,15
sj,2010,5,10
sj,2010,6,15
sj,2010,7,12
sj,2010,8,11
sj,2010,9,11
sj,2010,10,6
sj,2010,11,8
sj,2010,12,13
sj,2010,13,13
sj,2010,14,8
sj,2010,15,5
sj,2010,16,5
sj,2010,17,14
sj,2010,18,15
sj,2010,19,11
sj,2010,20,13
sj,2010,21,15
sj,2010,22,28
sj,2010,23,50
sj,2010,24,36
sj,2010,25,22
sj,2010,26,30
sj,2010,27,44
sj,2010,28,40
sj,2010,29,41
sj,2010,30,24
sj,2010,31,42
sj,2010,32,67
sj,2010,33,56
sj,2010,34,39
sj,2010,35,88
sj,2010,36,78
sj,2010,37,63
sj,2010,38,60
sj,2010,39,56
sj,2010,40,56
sj,2010,41,78
sj,2010,42,27
sj,2010,43,29
sj,2010,44,29
sj,2010,45,29
sj,2010,46,26
sj,2010,47,22
sj,2010,48,15
sj,2010,49,26
sj,2010,50,16
sj,2010,51,15
sj,2011,52,14
sj,2011,1,12
sj,2011,2,11
sj,2011,3,16
sj,2011,4,18
sj,2011,5,15
sj,2011,6,12
sj,2011,7,13
sj,2011,8,10
sj,2011,9,7
sj,2011,10,5
sj,2011,11,6
sj,2011,12,3
sj,2011,13,3
sj,2011,14,7
sj,2011,15,5
sj,2011,16,4
sj,2011,17,5
sj,2011,18,8
sj,2011,19,6
sj,2011,20,4
sj,2011,21,8
sj,2011,22,14
sj,2011,23,14
sj,2011,24,19
sj,2011,25,53
sj,2011,26,49
sj,2011,27,23
sj,2011,28,36
sj,2011,29,32
sj,2011,30,41
sj,2011,31,34
sj,2011,32,54
sj,2011,33,36
sj,2011,34,54
sj,2011,35,54
sj,2011,36,41
sj,2011,37,51
sj,2011,38,31
sj,2011,39,44
sj,2011,40,44
sj,2011,41,48
sj,2011,42,32
sj,2011,43,26
sj,2011,44,32
sj,2011,45,30
sj,2011,46,30
sj,2011,47,28
sj,2011,48,22
sj,2011,49,18
sj,2011,50,28
sj,2011,51,15
sj,2012,52,15
sj,2012,1,19
sj,2012,2,17
sj,2012,3,15
sj,2012,4,12
sj,2012,5,13
sj,2012,6,13
sj,2012,7,10
sj,2012,8,10
sj,2012,9,10
sj,2012,10,4
sj,2012,11,4
sj,2012,12,4
sj,2012,13,5
sj,2012,14,4
sj,2012,15,5
sj,2012,16,3
sj,2012,17,4
sj,2012,18,9
sj,2012,19,5
sj,2012,20,14
sj,2012,21,8
sj,2012,22,10
sj,2012,23,15
sj,2012,24,24
sj,2012,25,43
sj,2012,26,46
sj,2012,27,33
sj,2012,28,29
sj,2012,29,33
sj,2012,30,34
sj,2012,31,40
sj,2012,32,33
sj,2012,33,46
sj,2012,34,52
sj,2012,35,25
sj,2012,36,40
sj,2012,37,52
sj,2012,38,51
sj,2012,39,65
sj,2012,40,54
sj,2012,41,33
sj,2012,42,47
sj,2012,43,52
sj,2012,44,72
sj,2012,45,41
sj,2012,46,32
sj,2012,47,36
sj,2012,48,21
sj,2012,49,24
sj,2012,50,25
sj,2012,51,15
sj,2013,1,15
sj,2013,2,13
sj,2013,3,11
sj,2013,4,13
sj,2013,5,11
sj,2013,6,12
sj,2013,7,9
sj,2013,8,10
sj,2013,9,9
sj,2013,10,7
sj,2013,11,4
sj,2013,12,4
sj,2013,13,6
sj,2013,14,7
sj,2013,15,15
sj,2013,16,9
sj,2013,17,5
iq,2010,26,3
iq,2010,27,3
iq,2010,28,7
iq,2010,29,5
iq,2010,30,3
iq,2010,31,3
iq,2010,32,5
iq,2010,33,4
iq,2010,34,9
iq,2010,35,15
iq,2010,36,3
iq,2010,37,11
iq,2010,38,8
iq,2010,39,11
iq,2010,40,32
iq,2010,41,10
iq,2010,42,15
iq,2010,43,8
iq,2010,44,11
iq,2010,45,14
iq,2010,46,15
iq,2010,47,15
iq,2010,48,12
iq,2010,49,8
iq,2010,50,12
iq,2010,51,9
iq,2011,52,14
iq,2011,1,19
iq,2011,2,15
iq,2011,3,14
iq,2011,4,15
iq,2011,5,12
iq,2011,6,9
iq,2011,7,14
iq,2011,8,11
iq,2011,9,13
iq,2011,10,7
iq,2011,11,8
iq,2011,12,8
iq,2011,13,6
iq,2011,14,8
iq,2011,15,4
